key ; english ; portuguese

MENU_DASHBOARD ; Dashboard ;
MENU_DATA_ENTRY ; Data Entry ;
MENU_UPLOAD ; Upload ;
MENU_SETTINGS ; Settings ;

LANGUAGE_EN ; English ; Inglês
LANGUAGE_PT ; Portuguese ; Português 

BUTTON_SAVE ; Save ; 
BUTTON_CANCEL ; Cancel ; 
BUTTON_RESET ; Reset ;
BUTTON_UPLOAD ; Upload ;
BUTTON_DELETE ; Delete ;

DASHBOARD_WELCOME ; Welcome, ocean hero! ;
DASHBOARD_WELCOME_BACK ; Welcome back, ocean hero! ;

DASHBOARD_ONBOARDING_GREAT ; Great to have you onboard. ; 
DASHBOARD_ONBOARDING_GET_STARTED ; Here are your first steps to get started: ;
DASHBOARD_ONBOARDING_STEP1 ; 1. Go to $SETTINGS and set up your user information. (This is important so we know who collected the data we receive.) ;
DASHBOARD_ONBOARDING_STEP2 ; 2. Click on $DATA_ENTRY and start collecting data. (You don't need an internet connection. The data is stored locally on your phone.) ;
DASHBOARD_ONBOARDING_STEP3 ; 3. When you have an internet connection, come back and go to $UPLOAD. Then click on the Upload button to send your collected data to us. ;
DASHBOARD_ONBOARDING_THANKS ; Thanks! ; Obrigada!

DASHBOARD_H_LAST_ACTIVITY ; Last activity ;
DASHBOARD_H_SUMMARY ; Summary of collected data ;

DASHBOARD_DONT_FORGET_UPLOAD_SG ; Don't forget: You have one data item that has not yet been uploaded. ;
DASHBOARD_DONT_FORGET_UPLOAD_PL ; Don't forget: You have $COUNT data items that have not yet been uploaded. ;

SETTINGS_LANGUAGE ; Language ; 
SETTINGS_USER_NAME ; User name ; 
SETTINGS_EMAIL ; Email (so we can get in touch) ;
SETTINGS_TOKEN ; Token ; 
SETTINGS_TOKEN_EXPLANATION ; The token is used for signing data entries. You can get one from the Love The Oceans staff. ;

UPLOAD_H_LOCAL_DATA ; Local data ;
UPLOAD_H_UNSIGNED_DATA ; Unsigned data ;
UPLOAD_NO_SIGNED ; You have no data waiting to be uploaded. ;
UPLOAD_NO_UNSIGNED ; You have no unsigned data. ;
UPLOAD_TODO_SIGNED ; The following data has not yet been uploaded. (Click on the logo to open it.) ;
UPLOAD_TODO_UNSIGNED ; The following entries are unsigned and will not be uploaded unless you sign them. (Click on the logo to open it.) ;
UPLOAD_DELETE_ALL_UNSIGNED ; Do you really want to delete all unsigned data? ; 
UPLOAD_DELETE_ALL_UNSIGNED_EXPLANATION ; You will lose all data that you collected but did not sign. ;
UPLOAD_DELETE_ALL ; Delete all ;

FALLBACK_LOCATION ; somewhere ;

NOT_AVAILABLE_YET ; Not available yet, but you'll be able to log this soon. ;
HUMPBACKS ; You saw humpback whales? So lucky! ; 
MANTAS ; You saw manta rays? Nice! ; 
